ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
CLX,115,2026-08-07,beta_hedged,0.49140947745360014,0.4213197969543147,3,0.0,105.1500015258789,260514000.0,vol_63d(-0.007) | vol_21d(-0.007) | vol_63d_rank(+0.003)
ODFL,116,2026-08-07,beta_hedged,0.49127400011984873,0.41624365482233505,3,0.0,216.36000061035156,395120924.0,vol_63d(-0.008) | vol_21d(-0.007) | vol_63d_rank(+0.002)
AAPL,117,2026-08-07,beta_hedged,0.4911262933383281,0.41116751269035534,3,0.0,313.3299865722656,18161720947.0,vol_63d(-0.008) | vol_21d(-0.006) | vol_63d_rank(+0.002)
KMB,118,2026-08-07,beta_hedged,0.4908991495241031,0.40609137055837563,3,0.0,109.68000030517578,435463410.0,vol_63d(-0.010) | vol_63d_rank(-0.003) | vol_21d(+0.002)
MDT,119,2026-08-07,beta_hedged,0.4906134133297481,0.4010152284263959,3,0.0,87.16000366210938,605803312.0,vol_63d(-0.008) | close_vs_sma200(-0.004) | vol_63d_rank(+0.003)
CTAS,120,2026-08-07,beta_hedged,0.49054049495334917,0.39593908629441626,2,0.0,203.0500030517578,537332357.0,vol_63d(-0.009) | vol_21d(-0.006) | close_vs_sma50(+0.003)
ADBE,121,2026-08-07,beta_hedged,0.49017823678710987,0.39086294416243655,2,0.0,265.2099914550781,1302636917.0,ret_10d(-0.014) | close_vs_sma50(+0.006) | vol_63d(+0.006)
VLTO,122,2026-08-07,beta_hedged,0.48996147822399444,0.38578680203045684,2,0.0,98.33999633789062,166176701.0,vol_63d(-0.011) | vol_63d_rank(-0.008) | vol_21d(+0.003)
AOS,123,2026-08-07,beta_hedged,0.48977186634051884,0.38071065989847713,2,0.0,63.97999954223633,110022904.0,vol_63d(-0.008) | close_vs_sma200(-0.002) | vol_21d(+0.002)
BKNG,124,2026-08-07,beta_hedged,0.48968046702713064,0.3756345177664975,2,0.0,214.4199981689453,1190991251.0,ret_10d(-0.008) | close_vs_sma50(+0.006) | vol_21d(-0.005)
DD,125,2026-08-07,beta_hedged,0.48953830953901606,0.37055837563451777,2,0.0,142.47000122070312,236270562.0,vol_63d(-0.008) | vol_63d_rank(-0.003) | vol_21d(+0.002)
PTC,126,2026-08-07,beta_hedged,0.4894541264696762,0.36548223350253806,2,0.0,147.7100067138672,212091686.0,ret_10d(-0.011) | vol_21d(-0.006) | vol_63d(+0.006)
ABBV,127,2026-08-07,beta_hedged,0.48932350180623346,0.3604060913705584,2,0.0,246.0399932861328,1414748940.0,vol_63d(-0.011) | vol_63d_rank(-0.005) | vol_21d(+0.002)
CDNS,128,2026-08-07,beta_hedged,0.48912378823785563,0.3553299492385787,2,0.0,339.239990234375,814660372.0,vol_21d(-0.005) | vol_63d(+0.004) | ret_10d(-0.003)
SLB,129,2026-08-07,beta_hedged,0.4890263010059279,0.350253807106599,2,0.0,50.529998779296875,598776914.0,vol_63d(-0.007) | vol_21d(-0.006) | vol_63d_rank(+0.004)
VRTX,130,2026-08-07,beta_hedged,0.48833956823956126,0.34517766497461927,2,0.0,496.07000732421875,643573821.0,vol_63d(-0.010) | vol_63d_rank(-0.004) | vol_21d(+0.002)
HSY,131,2026-08-07,beta_hedged,0.48820761844954025,0.3401015228426396,2,0.0,182.35000610351562,299531283.0,vol_63d(-0.007) | close_vs_sma200(-0.005) | vol_63d_rank(+0.003)
STE,132,2026-08-07,beta_hedged,0.488101190410784,0.3350253807106599,2,0.0,237.47000122070312,175914295.0,vol_63d(-0.009) | vol_21d(-0.008) | close_vs_sma50(+0.004)
SWKS,133,2026-08-07,beta_hedged,0.4880440331103484,0.3299492385786802,2,0.0,70.62000274658203,360342639.0,vol_63d(+0.017) | ret_5d(-0.013) | ret_10d(-0.011)
ITW,134,2026-08-07,beta_hedged,0.4880095948708622,0.3248730964467005,2,0.0,296.6600036621094,427152725.0,vol_63d_rank(-0.013) | vol_63d(-0.008) | rsi_14(+0.003)
ISRG,135,2026-08-07,beta_hedged,0.48776608613647965,0.3197969543147208,2,0.0,378.80999755859375,1535911844.0,vol_63d_rank(+0.006) | ret_10d(-0.006) | ret_21d_rank(-0.003)
VRSN,136,2026-08-07,beta_hedged,0.48774930581874165,0.3147208121827411,2,0.0,294.55999755859375,248193714.0,vol_63d(-0.007) | vol_21d(-0.007) | vol_63d_rank(+0.004)
LOW,137,2026-08-07,beta_hedged,0.4876619088873397,0.3096446700507614,2,0.0,223.35000610351562,666177983.0,vol_63d(-0.009) | close_vs_sma200(-0.003) | vol_63d_rank(-0.002)
GILD,138,2026-08-07,beta_hedged,0.48757238451003154,0.30456852791878175,2,0.0,133.2100067138672,896043323.0,vol_63d(-0.009) | vol_63d_rank(-0.003) | ret_21d_rank(-0.002)
UBER,139,2026-08-07,beta_hedged,0.4875096886621308,0.29949238578680204,2,0.0,75.0199966430664,1342668457.0,ret_10d(-0.006) | vol_21d(-0.006) | vol_63d_rank(+0.004)
WELL,140,2026-08-07,beta_hedged,0.48743170607410663,0.29441624365482233,2,0.0,236.9199981689453,719647927.0,vol_63d(-0.011) | vol_63d_rank(-0.006) | vol_21d(+0.002)
